"SteamID","Clean Data","Case Folding","Tokenisasi","Stopword","Normalisasi","Stemming","Hasil","Status"
"76561198274207250","Game strategi yang bagus dengan komunitas yang lucu adalah tempat yang bagus untuk belajar banyak tentang ibumu","game strategi yang bagus dengan komunitas yang lucu adalah tempat yang bagus untuk belajar banyak tentang ibumu","game strategi yang bagus dengan komunitas yang lucu adalah tempat yang bagus untuk belajar banyak tentang ibumu","game strategi bagus komunitas lucu bagus belajar ibumu","main strategi bagus komunitas lucu bagus belajar ibumu","main strategi bagus komunitas lucu bagus ajar ibu","main strategi bagus komunitas lucu bagus ajar ibu","baik"
"76561198438294960","Game seperti mantan yang kasar Anda tahu hubungan yang Anda miliki dengan mereka beracun tetapi Anda terus berpikir bahwa kali akan berbeda","game seperti mantan yang kasar anda tahu hubungan yang anda miliki dengan mereka beracun tetapi anda terus berpikir bahwa kali akan berbeda","game seperti mantan yang kasar anda tahu hubungan yang anda miliki dengan mereka beracun tetapi anda terus berpikir bahwa kali akan berbeda","game mantan kasar hubungan miliki beracun berpikir kali berbeda","main mantan kasar hubungan miliki beracun berpikir kali berbeda","main mantan kasar hubung milik racun pikir kali beda","main mantan kasar hubung milik racun pikir kali beda","baik"
"76561199716640510","Permainan luar biasa sangat baik untuk pemula saat mereka berada menu Komunitas tidak hanya positif tetapi juga memiliki keterampilan telepati Mereka mengatakan kepada saya bahwa ayah saya bukan ayah saya saya tidak bekerja tempat yang saya pikirkan Juga salah satu keuntungannya adalah banyak dokter yang bermain Dota mereka dapat dengan mudah mendiagnosis kemampuan mental fisik Anda","permainan luar biasa sangat baik untuk pemula saat mereka berada menu komunitas tidak hanya positif tetapi juga memiliki keterampilan telepati mereka mengatakan kepada saya bahwa ayah saya bukan ayah saya saya tidak bekerja tempat yang saya pikirkan juga salah satu keuntungannya adalah banyak dokter yang bermain dota mereka dapat dengan mudah mendiagnosis kemampuan mental fisik anda","permainan luar biasa sangat baik untuk pemula saat mereka berada menu komunitas tidak hanya positif tetapi juga memiliki keterampilan telepati mereka mengatakan kepada saya bahwa ayah saya bukan ayah saya saya tidak bekerja tempat yang saya pikirkan juga salah satu keuntungannya adalah banyak dokter yang bermain dota mereka dapat dengan mudah mendiagnosis kemampuan mental fisik anda","permainan pemula menu komunitas positif memiliki keterampilan telepati ayah ayah pikirkan salah keuntungannya dokter bermain dota mudah mendiagnosis kemampuan mental fisik","permainan pemula menu komunitas positif memiliki keterampilan telepati ayah ayah pikirkan salah keuntungannya dokter bermain dota mudah mendiagnosis kemampuan mental fisik","main mula menu komunitas positif milik terampil telepati ayah ayah pikir salah untung dokter main dota mudah diagnosis mampu mental fisik","main mula menu komunitas positif milik terampil telepati ayah ayah pikir salah untung dokter main dota mudah diagnosis mampu mental fisik","baik"
"76561198363396220","Dota akan selalu menjadi permainan yang bagus MOBA terbaik untukku Tidak pernah bosan memainkannya selalu membuat saya kembali untuk lebih Berbasis pemain agak beracun tetapi secara kompetitif hanya tergantung pada bagaimana Anda melihat mengambilnya Waktu perhatian uang persahabatan yang saya lakukan habiskan dalam permainan akan selalu sepadan Setelah bermain game selama bertahun -tahun saya telah memutuskan untuk berhenti karenanya ulasan Saya berhenti karena alasan medis saya sudah terlalu untuk permainan Hanya nostalgia murni yang memicu saya untuk melanjutkan tetapi sekarang saatnya untuk menutup telepon Nikmati permainan selalu memiliki sikap mental yang positif terhadap permainan terima kasih Dota untuk semua kenangan GGWP","dota akan selalu menjadi permainan yang bagus moba terbaik untukku tidak pernah bosan memainkannya selalu membuat saya kembali untuk lebih berbasis pemain agak beracun tetapi secara kompetitif hanya tergantung pada bagaimana anda melihat mengambilnya waktu perhatian uang persahabatan yang saya lakukan habiskan dalam permainan akan selalu sepadan setelah bermain game selama bertahun -tahun saya telah memutuskan untuk berhenti karenanya ulasan saya berhenti karena alasan medis saya sudah terlalu untuk permainan hanya nostalgia murni yang memicu saya untuk melanjutkan tetapi sekarang saatnya untuk menutup telepon nikmati permainan selalu memiliki sikap mental yang positif terhadap permainan terima kasih dota untuk semua kenangan ggwp","dota akan selalu menjadi permainan yang bagus moba terbaik untukku tidak pernah bosan memainkannya selalu membuat saya kembali untuk lebih berbasis pemain agak beracun tetapi secara kompetitif hanya tergantung pada bagaimana anda melihat mengambilnya waktu perhatian uang persahabatan yang saya lakukan habiskan dalam permainan akan selalu sepadan setelah bermain game selama bertahun -tahun saya telah memutuskan untuk berhenti karenanya ulasan saya berhenti karena alasan medis saya sudah terlalu untuk permainan hanya nostalgia murni yang memicu saya untuk melanjutkan tetapi sekarang saatnya untuk menutup telepon nikmati permainan selalu memiliki sikap mental yang positif terhadap permainan terima kasih dota untuk semua kenangan ggwp","dota permainan bagus moba terbaik untukku bosan memainkannya berbasis pemain beracun kompetitif tergantung mengambilnya perhatian uang persahabatan lakukan habiskan permainan sepadan bermain game bertahun -tahun memutuskan berhenti ulasan berhenti alasan medis permainan nostalgia murni memicu melanjutkan menutup telepon nikmati permainan memiliki sikap mental positif permainan terima kasih dota kenangan ggwp","dota permainan bagus moba terbaik untukku bosan memainkannya berbasis pemain beracun kompetitif tergantung mengambilnya perhatian uang persahabatan lakukan habiskan permainan sepadan bermain main bertahun -tahun memutuskan berhenti ulasan berhenti alasan medis permainan nostalgia murni memicu melanjutkan menutup telepon nikmati permainan memiliki sikap mental positif permainan terima kasih dota kenangan main bagus main","dota main bagus moba baik untuk bosan main bas main racun kompetitif gantung ambil perhati uang sahabat laku habis main padan main main tahun -tahun putus henti ulas henti alas medis main nostalgia murni picu lanjut tutup telepon nikmat main milik sikap mental positif main terima kasih dota kenang main bagus main","dota main bagus moba baik untuk bosan main bas main racun kompetitif gantung ambil perhati uang sahabat laku habis main padan main main tahun -tahun putus henti ulas henti alas medis main nostalgia murni picu lanjut tutup telepon nikmat main milik sikap mental positif main terima kasih dota kenang main bagus main","baik"
"76561198116675000","Saya bahkan tidak tahu mengapa saya masih bermain seperti sesi untuk mengobrol dengan teman - teman sementara memiliki beberapa konten sampingan melihat kembali yang dimainkan saya bertanya tanya yang akan berubah jika saya menempatkan seperempat dari untuk piano atau sesuatu belajar bahasa baru bertemu orang baru menikmati berbagai jenis seni Tapi yang bisa saya lakukan hanyalah bertanya -tanya karena Anda tidak dapat mengubah masa lalu Saya bahkan tidak tahu apakah saya dapat mengubah masa kini karena adalah kecanduan yang sulit Terlepas dari semua adalah MOBA terbaik sangat kompleks dalam tetapi juga berarti lebih sulit bagi pemula untuk belajar Saya akan memberikan jempol Tidak banyak game yang bisa memakan waktu dari saya","saya bahkan tidak tahu mengapa saya masih bermain seperti sesi untuk mengobrol dengan teman - teman sementara memiliki beberapa konten sampingan melihat kembali yang dimainkan saya bertanya tanya yang akan berubah jika saya menempatkan seperempat dari untuk piano atau sesuatu belajar bahasa baru bertemu orang baru menikmati berbagai jenis seni tapi yang bisa saya lakukan hanyalah bertanya -tanya karena anda tidak dapat mengubah masa lalu saya bahkan tidak tahu apakah saya dapat mengubah masa kini karena adalah kecanduan yang sulit terlepas dari semua adalah moba terbaik sangat kompleks dalam tetapi juga berarti lebih sulit bagi pemula untuk belajar saya akan memberikan jempol tidak banyak game yang bisa memakan waktu dari saya","saya bahkan tidak tahu mengapa saya masih bermain seperti sesi untuk mengobrol dengan teman - teman sementara memiliki beberapa konten sampingan melihat kembali yang dimainkan saya bertanya tanya yang akan berubah jika saya menempatkan seperempat dari untuk piano atau sesuatu belajar bahasa baru bertemu orang baru menikmati berbagai jenis seni tapi yang bisa saya lakukan hanyalah bertanya -tanya karena anda tidak dapat mengubah masa lalu saya bahkan tidak tahu apakah saya dapat mengubah masa kini karena adalah kecanduan yang sulit terlepas dari semua adalah moba terbaik sangat kompleks dalam tetapi juga berarti lebih sulit bagi pemula untuk belajar saya akan memberikan jempol tidak banyak game yang bisa memakan waktu dari saya","bermain sesi mengobrol teman - teman memiliki konten sampingan dimainkan berubah menempatkan seperempat piano belajar bahasa bertemu orang menikmati jenis seni lakukan -tanya mengubah mengubah kecanduan sulit terlepas moba terbaik kompleks sulit pemula belajar jempol game memakan","bermain sesi mengobrol teman - teman memiliki konten sampingan dimainkan berubah menempatkan seperempat piano belajar bahasa bertemu orang menikmati jenis seni lakukan -tanya mengubah mengubah kecanduan sulit terlepas moba terbaik kompleks sulit pemula belajar jempol main memakan","main sesi obrol teman - teman milik konten samping main ubah tempat empat piano ajar bahasa temu orang nikmat jenis seni laku -tanya ubah ubah candu sulit lepas moba baik kompleks sulit mula ajar jempol main makan","main sesi obrol teman - teman milik konten samping main ubah tempat empat piano ajar bahasa temu orang nikmat jenis seni laku -tanya ubah ubah candu sulit lepas moba baik kompleks sulit mula ajar jempol main makan","baik"
"76561199055003630","Game mengajari saya tentang keragaman budaya yang ditawarkan oleh sudut kecil alam semesta kecil kami Kemudian mengajari saya untuk membenci mereka semua adalah program terbaik untuk mempelajari bahasa Rusia","game mengajari saya tentang keragaman budaya yang ditawarkan oleh sudut kecil alam semesta kecil kami kemudian mengajari saya untuk membenci mereka semua adalah program terbaik untuk mempelajari bahasa rusia","game mengajari saya tentang keragaman budaya yang ditawarkan oleh sudut kecil alam semesta kecil kami kemudian mengajari saya untuk membenci mereka semua adalah program terbaik untuk mempelajari bahasa rusia","game mengajari keragaman budaya ditawarkan sudut alam semesta mengajari membenci program terbaik mempelajari bahasa rusia","main mengajari keragaman budaya ditawarkan sudut alam semesta mengajari membenci program terbaik mempelajari bahasa rusia","main ajar ragam budaya tawar sudut alam semesta ajar benci program baik ajar bahasa rusia","main ajar ragam budaya tawar sudut alam semesta ajar benci program baik ajar bahasa rusia","baik"
"76561198095450430","Simulator Simulator Kesabaran Simulator Pengambilan Keputusan Instan Simulator Lingkungan Kerja Simulator Perbedaan Sosial Simulator Kecemasan dengan elemen yang terlihat tidak buruk Simulator Manajemen Kemarahan Simulator Bangunan Game yang sangat kompleks dengan mekanik aneh adalah permainan yang sulit karena terlalu panjang kurva belajar terlalu luas untuk pemain pemula Direkomendasikan tetapi bermain dengan tindakan pencegahan karena benar -benar dapat merusak hidup Anda atau menyelamatkan hidup Anda Pedang bermata untuk mengatakan setidaknya","simulator simulator kesabaran simulator pengambilan keputusan instan simulator lingkungan kerja simulator perbedaan sosial simulator kecemasan dengan elemen yang terlihat tidak buruk simulator manajemen kemarahan simulator bangunan game yang sangat kompleks dengan mekanik aneh adalah permainan yang sulit karena terlalu panjang kurva belajar terlalu luas untuk pemain pemula direkomendasikan tetapi bermain dengan tindakan pencegahan karena benar -benar dapat merusak hidup anda atau menyelamatkan hidup anda pedang bermata untuk mengatakan setidaknya","simulator simulator kesabaran simulator pengambilan keputusan instan simulator lingkungan kerja simulator perbedaan sosial simulator kecemasan dengan elemen yang terlihat tidak buruk simulator manajemen kemarahan simulator bangunan game yang sangat kompleks dengan mekanik aneh adalah permainan yang sulit karena terlalu panjang kurva belajar terlalu luas untuk pemain pemula direkomendasikan tetapi bermain dengan tindakan pencegahan karena benar -benar dapat merusak hidup anda atau menyelamatkan hidup anda pedang bermata untuk mengatakan setidaknya","simulator simulator kesabaran simulator pengambilan keputusan instan simulator lingkungan kerja simulator perbedaan sosial simulator kecemasan elemen buruk simulator manajemen kemarahan simulator bangunan game kompleks mekanik aneh permainan sulit kurva belajar luas pemain pemula direkomendasikan bermain tindakan pencegahan -benar merusak hidup menyelamatkan hidup pedang bermata","simulator simulator kesabaran simulator pengambilan keputusan instan simulator lingkungan kerja simulator perbedaan sosial simulator kecemasan elemen buruk simulator manajemen kemarahan simulator bangunan main kompleks mekanik aneh permainan sulit kurva belajar luas pemain pemula direkomendasikan bermain tindakan pencegahan -benar merusak hidup menyelamatkan hidup pedang bermata","simulator simulator sabar simulator ambil putus instan simulator lingkung kerja simulator beda sosial simulator cemas elemen buruk simulator manajemen marah simulator bangun main kompleks mekanik aneh main sulit kurva ajar luas main mula rekomendasi main tindak cegah -benar rusak hidup selamat hidup pedang mata","simulator simulator sabar simulator ambil putus instan simulator lingkung kerja simulator beda sosial simulator cemas elemen buruk simulator manajemen marah simulator bangun main kompleks mekanik aneh main sulit kurva ajar luas main mula rekomendasi main tindak cegah -benar rusak hidup selamat hidup pedang mata","baik"
"76561198090111140","adalah permainan yang ingin Anda mainkan jika Anda menginginkan heroin liga tetapi juga kompleks superioritas tidak bermain liga","adalah permainan yang ingin anda mainkan jika anda menginginkan heroin liga tetapi juga kompleks superioritas tidak bermain liga","adalah permainan yang ingin anda mainkan jika anda menginginkan heroin liga tetapi juga kompleks superioritas tidak bermain liga","permainan mainkan heroin liga kompleks superioritas bermain liga","permainan mainkan heroin liga kompleks superioritas bermain liga","main main heroin liga kompleks superioritas main liga","main main heroin liga kompleks superioritas main liga","baik"
"76561197996774380","adalah permainan multipemain berbasis kompetitif terbesar yang pernah dibuat hanya karya seni yang indah Komunitas beracun","adalah permainan multipemain berbasis kompetitif terbesar yang pernah dibuat hanya karya seni yang indah komunitas beracun","adalah permainan multipemain berbasis kompetitif terbesar yang pernah dibuat hanya karya seni yang indah komunitas beracun","permainan multipemain berbasis kompetitif terbesar karya seni indah komunitas beracun","permainan multipemain berbasis kompetitif terbesar karya seni indah komunitas beracun","main multipemain bas kompetitif besar karya seni indah komunitas racun","main multipemain bas kompetitif besar karya seni indah komunitas racun","baik"
"76561197970562200","Anehnya atau mungkin tidak aneh Deadlock membuat saya masuk permainan saya harus mengakui luar biasa Saya benar -benar mengerikan dalam yang mungkin dilakukan saya cukup yakin saya tidak akan pernah baik tetapi desain seni sangat keren seperti biasa jelas mengingatkan saya pada Warcraft gratis begitu banyak pilihan pahlawan sehingga Anda akan dengan mudah menemukan satu yang akan Anda nikmati bahkan jika offline dengan Lihatlah","anehnya atau mungkin tidak aneh deadlock membuat saya masuk permainan saya harus mengakui luar biasa saya benar -benar mengerikan dalam yang mungkin dilakukan saya cukup yakin saya tidak akan pernah baik tetapi desain seni sangat keren seperti biasa jelas mengingatkan saya pada warcraft gratis begitu banyak pilihan pahlawan sehingga anda akan dengan mudah menemukan satu yang akan anda nikmati bahkan jika offline dengan lihatlah","anehnya atau mungkin tidak aneh deadlock membuat saya masuk permainan saya harus mengakui luar biasa saya benar -benar mengerikan dalam yang mungkin dilakukan saya cukup yakin saya tidak akan pernah baik tetapi desain seni sangat keren seperti biasa jelas mengingatkan saya pada warcraft gratis begitu banyak pilihan pahlawan sehingga anda akan dengan mudah menemukan satu yang akan anda nikmati bahkan jika offline dengan lihatlah","anehnya aneh deadlock masuk permainan mengakui -benar mengerikan desain seni keren warcraft gratis pilihan pahlawan mudah menemukan nikmati offline lihatlah","anehnya aneh deadlock masuk permainan mengakui -benar mengerikan desain seni keren warcraft gratis pilihan pahlawan mudah menemukan nikmati offline lihatlah","aneh aneh deadlock masuk main aku -benar keri desain seni keren warcraft gratis pilih pahlawan mudah temu nikmat offline lihat","aneh aneh deadlock masuk main aku -benar keri desain seni keren warcraft gratis pilih pahlawan mudah temu nikmat offline lihat","baik"
