kata,label_heuristik,label_final,stemming
abadi,whitelist,whitelist,abadi
abai,whitelist,whitelist,aba
absolut,lain,lain,
abstrak,lain,lain,
acak,lain,lain,
acara,lain,lain,
acau,lain,lain,
ada,lain,lain,
adab,lain,lain,
adaptasi,whitelist,whitelist,adaptas
adegan,whitelist,whitelist,adeg
adiktif,lain,lain,
adil,lain,lain,
adrenalin,lain,lain,
adu,lain,lain,
agam,lain,lain,
agresi,whitelist,whitelist,agres
agresif,lain,lain,
agung,lain,lain,
ahli,whitelist,whitelist,ahl
ajaib,lain,lain,
ajar,lain,lain,
aju,lain,lain,
akal,lain,lain,
akar,lain,lain,
akibat,lain,lain,
akrab,lain,lain,
akses,lain,lain,
aksi,whitelist,whitelist,aks
aktif,lain,lain,
akting,asing,asing,
aktor,lain,lain,
aku,lain,lain,
akun,whitelist,whitelist,akun
akurat,lain,lain,
alam,lain,lain,
alami,whitelist,whitelist,alam
alas,lain,lain,
alat,whitelist,whitelist,alat
alfa,lain,lain,
algoritma,lain,lain,
alih,lain,lain,
alir,lain,lain,
aman,lain,lain,
ambien,whitelist,whitelist,ambien
ambil,lain,lain,
amerika,lain,lain,
ampun,lain,lain,
amuk,lain,lain,
anak,lain,lain,
analitik,lain,lain,
ancam,lain,lain,
ancang,lain,lain,
ancient,lain,lain,
ancients,lain,lain,
andal,lain,lain,
aneh,lain,lain,
anggap,lain,lain,
anggar,lain,lain,
anggota,lain,lain,
animasi,whitelist,whitelist,animas
anime,lain,lain,
anjing,asing,asing,
anonim,lain,lain,
antarmuka,lain,lain,
antek,lain,lain,
anti,whitelist,whitelist,ant
antri,whitelist,whitelist,antr
apa,lain,lain,
aplikasi,whitelist,whitelist,aplikas
arah,lain,lain,
arcade,whitelist,whitelist,arcade
arcana,whitelist,whitelist,arcana
archon,whitelist,whitelist,archon
area,lain,lain,
arena,whitelist,whitelist,arena
arloji,whitelist,whitelist,arloj
arti,whitelist,whitelist,art
arus,lain,lain,
asa,lain,lain,
asai,whitelist,whitelist,asa
asal,lain,lain,
asia,lain,lain,
asing,asing,asing,
asli,whitelist,whitelist,asl
aspek,lain,lain,
assassin,lain,lain,
atas,lain,lain,
atribut,lain,lain,
atur,lain,lain,
audiens,lain,lain,
audio,lain,lain,
autisme,lain,lain,
awas,lain,lain,
ayah,lain,lain,
ayun,lain,lain,
baca,lain,lain,
badai,whitelist,whitelist,bada
badut,lain,lain,
bagi,whitelist,whitelist,bag
bagus,lain,lain,
bahagia,lain,lain,
bahan,whitelist,whitelist,bah
bahas,lain,lain,
bahasa,lain,lain,
bahaya,lain,lain,
bahu,lain,lain,
baik,lain,lain,
bajak,lain,lain,
bajing,asing,asing,
bakar,lain,lain,
bakat,lain,lain,
balance,lain,lain,
balas,lain,lain,
balik,lain,lain,
banding,asing,asing,
bangkit,lain,lain,
bangkrut,lain,lain,
bangsal,lain,lain,
bangun,lain,lain,
